"page_domain","3p_request_domain","3p_domain_owner","3p_domain_owner_country"
"20min.ch","adnxs.com","Xandr","US"
"20min.ch","adsafeprotected.com","Integral Ad Science","US"
"20min.ch","cookielaw.org","",""
"20min.ch","da-services.ch","",""
"20min.ch","doubleclick.net","DoubleClick","US"
"20min.ch","facebook.com","Facebook","US"
"20min.ch","facebook.net","Facebook","US"
"20min.ch","fooby.ch","",""
"20min.ch","google-analytics.com","Google Analytics","US"
"20min.ch","google.ch","Google","US"
"20min.ch","google.com","Google","US"
"20min.ch","googletagmanager.com","Google Tag Manager","US"
"20min.ch","mpod.ch","",""
"20min.ch","onetrust.com","",""
"20min.ch","opecloud.com","",""
"20min.ch","scorecardresearch.com","ScorecardResearch","US"
"20min.ch","tamedia.link","",""
"20min.ch","tda.link","",""
"20min.ch","tiktok.com","",""
"20min.ch","unitycms.io","",""
"24heures.ch","1rx.io","Blinkx","US"
"24heures.ch","20min.ch","",""
"24heures.ch","2mdn.net","DoubleClick","US"
"24heures.ch","360yield.com","Improve Digital","NL"
"24heures.ch","3lift.com","TripleLift","US"
"24heures.ch","ad4m.at","",""
"24heures.ch","addthis.com","AddThis","US"
"24heures.ch","adform.net","AdForm","DK"
"24heures.ch","adhigh.net","GetIntent","US"
"24heures.ch","adingo.jp","Fluct","JP"
"24heures.ch","adition.com","Adition Technologies","DE"
"24heures.ch","adkernel.com","",""
"24heures.ch","adnxs-simple.com","",""
"24heures.ch","adnxs.com","Xandr","US"
"24heures.ch","adsafeprotected.com","Integral Ad Science","US"
"24heures.ch","adsafety.net","",""
"24heures.ch","adsrvr.org","The Trade Desk","US"
"24heures.ch","advertising.com","ONE by Aol","US"
"24heures.ch","amazon-adsystem.com","Amazon Marketing Services","US"
"24heures.ch","aura-dsp.com","",""
"24heures.ch","avads.net","",""
"24heures.ch","bluekai.com","Oracle Blue Kai","US"
"24heures.ch","casalemedia.com","Index Exchange","CA"
"24heures.ch","clean.gg","",""
"24heures.ch","cloudflare.com","Cloudflare","US"
"24heures.ch","contextweb.com","PulsePoint","US"
"24heures.ch","createjs.com","CreateJS","CA"
"24heures.ch","crwdcntrl.net","Lotame","US"
"24heures.ch","cxense.com","Cxense","NO"
"24heures.ch","da-services.ch","",""
"24heures.ch","demdex.net","Adobe Audience Manager","US"
"24heures.ch","doubleclick.net","DoubleClick","US"
"24heures.ch","e-volution.ai","",""
"24heures.ch","everesttech.net","Adobe Experience Cloud","US"
"24heures.ch","exelator.com","exelate","US"
"24heures.ch","facebook.com","Facebook","US"
"24heures.ch","facebook.net","Facebook","US"
"24heures.ch","google-analytics.com","Google Analytics","US"
"24heures.ch","google.ch","Google","US"
"24heures.ch","google.com","Google","US"
"24heures.ch","googleadservices.com","AdSense","US"
"24heures.ch","googleapis.com","Google APIs","US"
"24heures.ch","googlesyndication.com","AdSense","US"
"24heures.ch","googletagmanager.com","Google Tag Manager","US"
"24heures.ch","googletagservices.com","Google Tag Manager","US"
"24heures.ch","gstatic.com","Google","US"
"24heures.ch","gumgum.com","Gumgum","US"
"24heures.ch","indexww.com","Index Exchange","CA"
"24heures.ch","kargo.com","",""
"24heures.ch","krxd.net","Salesforce DMP","US"
"24heures.ch","lemonpi.io","",""
"24heures.ch","lijit.com","Sovrn","US"
"24heures.ch","linkedin.com","LinkedIn","US"
"24heures.ch","loopme.me","Loopme","UK"
"24heures.ch","mathtag.com","Media Math","US"
"24heures.ch","media.net","Media.net","US"
"24heures.ch","meinungsplatz.ch","",""
"24heures.ch","mpod.ch","",""
"24heures.ch","mts.ru","",""
"24heures.ch","netmng.com","Netmining","US"
"24heures.ch","onetag-sys.com","",""
"24heures.ch","opecloud.com","",""
"24heures.ch","openx.net","OpenX","US"
"24heures.ch","parsely.com","Parsely","US"
"24heures.ch","piano.io","",""
"24heures.ch","polyfill.io","",""
"24heures.ch","pubmatic.com","PubMatic","US"
"24heures.ch","quantserve.com","Quantcast","US"
"24heures.ch","rfihub.com","Rocketfuel","US"
"24heures.ch","rlcdn.com","LiveRamp","US"
"24heures.ch","rubiconproject.com","Rubicon Project","US"
"24heures.ch","sc-static.net","",""
"24heures.ch","scorecardresearch.com","ScorecardResearch","US"
"24heures.ch","simpli.fi","simpli.fi","US"
"24heures.ch","smartadserver.com","Smart AdServer","FR"
"24heures.ch","smartclip.net","",""
"24heures.ch","smartstream.tv","",""
"24heures.ch","snapchat.com","",""
"24heures.ch","spotxchange.com","Spot X Change","US"
"24heures.ch","stickyadstv.com","StickyADS.tv","US"
"24heures.ch","taboola.com","Taboola","US"
"24heures.ch","tagesanzeiger.ch","",""
"24heures.ch","tamedia.ch","",""
"24heures.ch","tamedia.link","",""
"24heures.ch","tda.link","",""
"24heures.ch","teads.tv","Teads","US"
"24heures.ch","tiktok.com","",""
"24heures.ch","tinypass.com","",""
"24heures.ch","tremorhub.com","Tremor Video","US"
"24heures.ch","trustarc.com","TrustArc","US"
"24heures.ch","truste.com","TrustArc","US"
"24heures.ch","turn.com","Turn","US"
"24heures.ch","tx.group","",""
"24heures.ch","unitycms.io","",""
"24heures.ch","unrulymedia.com","Unruly","UK"
"24heures.ch","uuidksinc.net","",""
"24heures.ch","yahoo.com","Yahoo","US"
"24heures.ch","yieldlab.net","Yieldlab","DE"
"24heures.ch","yieldmo.com","Yieldmo","US"
"bazonline.ch","2mdn.net","DoubleClick","US"
"bazonline.ch","3lift.com","TripleLift","US"
"bazonline.ch","adform.net","AdForm","DK"
"bazonline.ch","adition.com","Adition Technologies","DE"
"bazonline.ch","adkernel.com","",""
"bazonline.ch","adnxs.com","Xandr","US"
"bazonline.ch","adriver.ru","Adriver","RU"
"bazonline.ch","adsafeprotected.com","Integral Ad Science","US"
"bazonline.ch","adsafety.net","",""
"bazonline.ch","adsrvr.org","The Trade Desk","US"
"bazonline.ch","amazon-adsystem.com","Amazon Marketing Services","US"
"bazonline.ch","bidtheatre.com","Bidtheatre","SE"
"bazonline.ch","casalemedia.com","Index Exchange","CA"
"bazonline.ch","cloudflare.com","Cloudflare","US"
"bazonline.ch","cognitivlabs.com","",""
"bazonline.ch","cxense.com","Cxense","NO"
"bazonline.ch","da-services.ch","",""
"bazonline.ch","doubleclick.net","DoubleClick","US"
"bazonline.ch","exelator.com","exelate","US"
"bazonline.ch","facebook.com","Facebook","US"
"bazonline.ch","facebook.net","Facebook","US"
"bazonline.ch","fksnk.com","",""
"bazonline.ch","google-analytics.com","Google Analytics","US"
"bazonline.ch","google.ch","Google","US"
"bazonline.ch","google.com","Google","US"
"bazonline.ch","googleadservices.com","AdSense","US"
"bazonline.ch","googleapis.com","Google APIs","US"
"bazonline.ch","googlesyndication.com","AdSense","US"
"bazonline.ch","googletagmanager.com","Google Tag Manager","US"
"bazonline.ch","googletagservices.com","Google Tag Manager","US"
"bazonline.ch","gstatic.com","Google","US"
"bazonline.ch","indexww.com","Index Exchange","CA"
"bazonline.ch","linkedin.com","LinkedIn","US"
"bazonline.ch","mathtag.com","Media Math","US"
"bazonline.ch","mpod.ch","",""
"bazonline.ch","opecloud.com","",""
"bazonline.ch","openx.net","OpenX","US"
"bazonline.ch","oxima.ch","",""
"bazonline.ch","parsely.com","Parsely","US"
"bazonline.ch","piano.io","",""
"bazonline.ch","pinimg.com","Pinterest","US"
"bazonline.ch","pinterest.com","Pinterest","US"
"bazonline.ch","rubiconproject.com","Rubicon Project","US"
"bazonline.ch","sc-static.net","",""
"bazonline.ch","scorecardresearch.com","ScorecardResearch","US"
"bazonline.ch","sitescout.com","SiteScout","US"
"bazonline.ch","smartclip.net","",""
"bazonline.ch","smartstream.tv","",""
"bazonline.ch","snapchat.com","",""
"bazonline.ch","taboola.com","Taboola","US"
"bazonline.ch","tamedia.ch","",""
"bazonline.ch","tamedia.link","",""
"bazonline.ch","tapad.com","TapAd","US"
"bazonline.ch","tda.link","",""
"bazonline.ch","tiktok.com","",""
