"page_domain","3p_request_domain","3p_domain_owner","3p_domain_owner_country"
"20min.ch","adnxs.com","Xandr","US"
"20min.ch","adsafeprotected.com","Integral Ad Science","US"
"20min.ch","cookielaw.org","",""
"20min.ch","da-services.ch","",""
"20min.ch","doubleclick.net","DoubleClick","US"
"20min.ch","facebook.com","Facebook","US"
"20min.ch","facebook.net","Facebook","US"
"20min.ch","fooby.ch","",""
"20min.ch","google-analytics.com","Google Analytics","US"
"20min.ch","google.ch","Google","US"
"20min.ch","google.com","Google","US"
"20min.ch","googletagmanager.com","Google Tag Manager","US"
"20min.ch","mpod.ch","",""
"20min.ch","onetrust.com","",""
"20min.ch","opecloud.com","",""
"20min.ch","scorecardresearch.com","ScorecardResearch","US"
"20min.ch","tamedia.link","",""
"20min.ch","tda.link","",""
"20min.ch","tiktok.com","",""
"20min.ch","unitycms.io","",""
